,DistrictId,Rooms,Square,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B
116,78,1.0,44.570412123654016,10.0,18.0,24.0,2011,0.092290642,21,4346,2,1,2,0,1,0,1,0,1
118,18,3.0,76.23513674330522,10.0,9.0,17.0,1997,0.0,30,5562,0,0,5,0,1,0,1,1,0
119,45,1.0,42.367288692851375,1.0,14.0,14.0,2015,0.195781053,23,5212,6,3,2,0,1,0,1,0,1
120,15,4.0,98.68670312903869,15.0,10.0,17.0,2008,0.158249043,21,5731,0,1,0,0,1,0,1,0,1
121,121,3.0,60.43816917856879,5.0,5.0,5.0,1965,0.212515361,19,3293,16,3,7,0,1,0,1,0,1
122,49,1.0,43.44426635232809,8.0,17.0,17.0,2010,0.020741326,24,5613,5,2,5,0,1,0,1,0,1
123,25,3.0,89.80375267249289,1.0,3.0,3.0,2017,0.069753361,53,13670,4,1,11,0,1,0,1,0,1
124,19,2.0,74.44137733392219,9.0,23.0,25.0,2004,0.000991363,33,6783,3,1,9,0,1,0,1,0,1
126,59,2.0,61.50213443093715,10.0,5.0,17.0,1985,0.019508796,37,7687,11,5,5,0,1,0,1,0,1
127,28,2.0,43.771829534570266,5.0,3.0,9.0,1968,0.118537385,30,6207,1,1,0,0,1,0,1,0,1
128,2,3.0,60.15940612151951,5.0,4.0,9.0,1968,0.309479124,35,7715,4,0,6,0,1,0,1,0,1
129,6,1.0,65.10201679019049,1.0,9.0,9.0,2015,0.243204519,5,1564,0,0,0,0,1,0,1,0,1
130,96,1.0,35.99013769288014,1.0,1.0,9.0,1978,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
131,27,3.0,89.6929642467968,1.0,1.0,1.0,1977,0.072157581,2,629,1,0,0,0,1,0,1,1,0
132,108,3.0,110.20396948700356,12.0,19.0,28.0,2007,0.019508796,37,7687,11,5,5,0,1,0,1,0,1
133,127,2.0,45.92367266158226,5.0,3.0,5.0,1967,0.486245621,13,2514,19,0,6,0,1,0,1,0,1
134,6,2.0,65.49667436641931,1.0,5.0,17.0,1977,0.243204519,5,1564,0,0,0,0,1,0,1,0,1
135,85,1.0,42.19894558704247,10.0,16.0,22.0,1987,0.037177818,52,11217,1,1,7,0,1,0,1,0,1
136,27,2.0,92.40000684071423,10.0,2.0,5.0,1977,0.07542368,11,3097,0,0,0,0,1,0,1,0,1
137,56,1.0,40.812877553246935,10.0,10.0,22.0,1999,0.0,23,5067,4,2,6,0,1,0,1,0,1
138,31,2.0,62.30129218800013,10.0,11.0,12.0,2008,0.151346216,32,5889,10,4,1,0,1,1,0,0,1
140,169,1.0,33.25798132827507,5.0,7.0,9.0,1967,0.17891679600000002,18,3594,4,1,5,0,1,0,1,0,1
141,31,3.0,78.47198680838288,8.0,5.0,5.0,1957,0.151346216,32,5889,10,4,1,0,1,1,0,0,1
142,61,2.0,45.586982489186994,5.0,5.0,5.0,1962,0.298204575,16,4048,3,1,3,0,1,0,1,0,1
144,109,1.0,40.117363791934814,10.0,5.0,22.0,1982,0.0,25,5027,4,1,1,0,1,0,1,0,1
145,34,2.0,60.366625674269216,10.0,19.0,19.0,2017,0.069753361,53,13670,4,1,11,0,1,0,1,0,1
147,27,3.0,92.88554386930149,13.0,7.0,17.0,2015,0.072157581,2,629,1,0,0,0,1,0,1,1,0
148,9,1.0,37.470195242427614,7.0,12.0,17.0,1993,0.069753361,53,13670,4,1,11,0,1,0,1,0,1
149,94,1.0,37.98575172539788,9.0,8.0,16.0,1974,0.521867054,25,6149,0,0,0,0,1,0,1,0,1
150,46,2.0,69.80461247985367,12.0,13.0,16.0,2014,0.188783766,31,6137,4,0,1,0,1,0,1,0,1
151,17,1.0,40.090754550200884,8.0,6.0,16.0,1980,0.093442564,23,4635,5,2,4,0,1,0,1,0,1
153,62,1.0,53.49130060550926,1.0,1.0,1.0,2015,0.072157581,2,629,1,0,0,0,1,0,1,1,0
154,23,1.0,44.647897567499456,1.0,9.0,25.0,1977,0.075778755,6,1437,3,0,2,0,1,0,1,0,1
155,62,1.0,47.57727953765478,1.0,1.0,1.0,1977,0.072157581,2,629,1,0,0,0,1,0,1,1,0
156,44,2.0,44.51140745026622,5.0,5.0,5.0,1960,0.122190486,25,4724,2,1,3,0,1,0,1,0,1
157,23,3.0,70.21457474548518,9.0,1.0,1.0,2017,0.005767451,1,388,0,0,0,0,1,0,1,0,1
158,27,3.0,51.991064354455396,1.0,22.0,25.0,1977,0.072157581,2,629,1,0,0,0,1,0,1,1,0
159,85,1.0,44.03852399189157,1.0,15.0,22.0,1982,0.037177818,52,11217,1,1,7,0,1,0,1,0,1
160,6,1.0,66.41984149373265,1.0,1.0,1.0,1977,0.243204519,5,1564,0,0,0,0,1,0,1,0,1
161,27,1.0,54.25519113954791,0.0,3.0,3.0,2017,0.072157581,2,629,1,0,0,0,1,0,1,1,0
162,119,2.0,45.222689730275285,5.0,6.0,9.0,1968,0.000995363,42,7651,1,1,5,0,1,0,1,0,1
163,99,2.0,47.01806447731696,6.0,7.0,9.0,1971,0.012338886,35,5776,1,2,4,0,1,0,1,0,1
164,96,2.0,57.6391671539191,8.0,3.0,9.0,1999,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
165,41,2.0,54.4778683522394,8.0,7.0,12.0,1983,6.99893e-05,46,10309,1,1,16,0,1,0,1,0,1
166,57,2.0,56.38477330543139,8.0,4.0,12.0,1983,0.13321533300000002,49,11395,3,3,4,0,1,0,1,1,0
168,98,2.0,47.69890152322699,5.0,4.0,5.0,1962,0.195781053,23,5212,6,3,2,0,1,0,1,0,1
169,47,2.0,49.285200889669326,6.0,7.0,12.0,1977,0.298204575,16,4048,3,1,3,0,1,0,1,0,1
170,7,3.0,81.46790925974453,10.0,17.0,17.0,2010,0.035145267,42,9292,3,0,3,0,1,0,1,0,1
171,52,1.0,32.827650993401186,5.0,1.0,9.0,1966,0.371148999,34,7065,1,2,5,0,1,0,1,0,1
172,47,2.0,56.922116009244824,8.0,13.0,16.0,1981,0.101872465,23,4583,3,3,3,0,1,0,1,0,1
175,27,3.0,82.51591138174318,1.0,1.0,1.0,1977,0.017647053,2,469,0,0,0,0,1,0,1,0,1
176,80,2.0,53.74725390900309,8.0,6.0,22.0,1984,0.0077202819999999985,38,4788,2,0,4,0,1,0,1,0,1
177,27,2.0,62.64038950680821,10.0,5.0,17.0,2015,0.072157581,2,629,1,0,0,0,1,0,1,1,0
178,57,1.0,29.77078391154496,5.0,5.0,5.0,1964,0.13321533300000002,49,11395,3,3,4,0,1,0,1,1,0
179,86,1.0,36.80582613393983,7.0,10.0,12.0,1974,0.161975568,31,7010,5,3,7,0,1,1,0,0,1
180,61,3.0,54.526820684610605,6.0,3.0,9.0,1976,0.300322518,52,10311,6,1,9,0,1,0,1,0,1
181,83,2.0,54.386667679168504,8.0,11.0,12.0,1978,0.100455735,43,7227,0,1,6,0,1,0,1,1,0
183,44,2.0,47.91700922770607,5.0,5.0,5.0,1965,0.036122292,24,4378,0,1,1,0,1,0,1,0,1
184,74,1.0,51.01123215962079,1.0,12.0,20.0,2017,0.075778755,6,1437,3,0,2,0,1,0,1,0,1
185,62,3.0,67.63260672812788,7.0,8.0,9.0,1973,0.002211665,39,7614,3,1,5,0,1,0,1,1,0
186,137,3.0,70.22360431225314,13.0,3.0,8.0,1955,0.200146802,23,3975,8,2,0,0,1,0,1,0,1
187,41,2.0,42.58151161541346,6.0,7.0,14.0,1973,0.175054867,36,10055,3,1,0,0,1,0,1,0,1
188,91,1.0,41.07619268196986,7.0,14.0,17.0,2000,0.333891544,30,6564,1,0,0,0,1,0,1,0,1
189,94,2.0,47.80222779023652,6.0,5.0,12.0,1975,0.521867054,25,6149,0,0,0,0,1,0,1,0,1
190,39,1.0,33.68237635813288,6.0,9.0,9.0,1973,0.428825818,25,5011,8,0,2,0,1,0,1,0,1
191,92,2.0,42.54009352292711,6.0,12.0,12.0,1971,0.460556389,20,4386,14,1,5,0,1,0,1,0,1
192,118,3.0,92.26619160498691,12.0,4.0,17.0,2005,0.21843974,21,4472,6,4,7,0,1,0,1,1,0
193,187,1.0,38.89234657283961,10.0,8.0,16.0,2005,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
196,7,3.0,91.90401514440286,7.0,5.0,5.0,1937,0.130617806,39,10418,9,1,9,0,1,0,1,0,1
197,36,1.0,38.75540671852458,8.0,2.0,14.0,1978,0.08761909,8,1497,5,1,0,0,1,0,1,0,1
198,13,3.0,80.03033041968777,10.0,16.0,17.0,1992,0.090799103,74,19083,2,5,15,0,1,0,1,0,1
199,86,2.0,59.96722996245699,8.0,10.0,25.0,2007,0.161975568,31,7010,5,3,7,0,1,1,0,0,1
200,101,2.0,59.777540761570975,10.0,20.0,22.0,1999,0.225824954,41,6558,7,3,2,1,0,0,1,0,1
201,7,2.0,49.830081678565854,6.0,9.0,9.0,1980,0.130617806,39,10418,9,1,9,0,1,0,1,0,1
202,106,2.0,62.68807707320569,10.0,8.0,18.0,2004,0.246031548,22,3151,4,3,3,0,1,1,0,0,1
204,52,1.0,39.554283412487294,7.0,13.0,25.0,2007,0.371148999,34,7065,1,2,5,0,1,0,1,0,1
207,161,3.0,81.74963962728911,7.0,5.0,8.0,1964,0.0006991189999999999,14,3369,24,0,3,0,1,0,1,0,1
208,6,2.0,56.571289554112866,9.0,14.0,17.0,2011,0.243204519,5,1564,0,0,0,0,1,0,1,0,1
209,27,1.0,43.37251864207703,9.0,16.0,16.0,2010,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
210,28,1.0,45.18232856287953,9.0,4.0,23.0,2007,0.333891544,30,6564,1,0,0,0,1,0,1,0,1
211,98,1.0,30.447688159505947,5.0,3.0,9.0,1974,0.313924552,22,4625,11,2,10,0,1,0,1,0,1
212,88,2.0,67.62871744827193,1.0,22.0,22.0,1977,0.127375905,43,8429,3,3,9,0,1,0,1,0,1
213,27,1.0,46.848992722249015,8.0,8.0,10.0,2007,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
214,22,2.0,45.578160725832994,5.0,3.0,5.0,1962,0.118537385,30,6207,1,1,0,0,1,0,1,0,1
215,1,2.0,64.2263608635554,8.0,12.0,17.0,2016,0.007122317,1,264,0,0,1,0,1,0,1,0,1
216,19,3.0,65.77099138534508,8.0,6.0,16.0,1978,0.309479124,35,7715,4,0,6,0,1,0,1,0,1
217,27,3.0,59.42507753869936,9.0,10.0,10.0,1977,0.072157581,2,629,1,0,0,0,1,0,1,1,0
218,63,1.0,51.456042315841025,1.0,10.0,10.0,2017,0.23861713,26,3889,6,3,6,0,1,0,1,0,1
219,85,1.0,28.53508416664782,6.0,4.0,9.0,1967,0.037177818,52,11217,1,1,7,0,1,0,1,0,1
220,23,2.0,58.64681763048677,6.0,2.0,4.0,2015,0.034656082000000005,0,168,0,0,0,0,1,0,1,0,1
221,7,2.0,67.87154473778412,12.0,13.0,17.0,2014,0.035145267,42,9292,3,0,3,0,1,0,1,0,1
222,11,3.0,72.95694262051751,9.0,12.0,14.0,1977,0.00016967599999999998,36,5992,0,1,1,0,1,0,1,0,1
223,27,2.0,62.1539939420753,0.0,1.0,1.0,1977,0.072157581,2,629,1,0,0,0,1,0,1,1,0
224,41,1.0,41.919045348063044,9.0,3.0,14.0,1984,0.175054867,36,10055,3,1,0,0,1,0,1,0,1
227,2,3.0,79.7222428770001,72.0,12.0,16.0,1987,0.130617806,39,10418,9,1,9,0,1,0,1,0,1
228,9,3.0,79.8304393653747,10.0,5.0,14.0,1993,0.161531741,25,5648,1,2,4,0,1,0,1,0,1
230,123,2.0,75.14501200314791,11.0,8.0,8.0,2009,0.0,6,2733,0,0,4,0,1,0,1,0,1
232,167,3.0,82.02956195939946,8.0,4.0,5.0,1954,0.050272014,21,4231,14,0,3,0,1,0,1,0,1
233,27,2.0,75.3786829779113,12.0,3.0,18.0,2017,0.072157581,2,629,1,0,0,0,1,0,1,1,0
234,27,3.0,81.88454797087553,0.0,12.0,19.0,1977,0.211401214,9,1892,0,0,1,0,1,0,1,0,1
235,21,2.0,42.42307966792883,5.0,3.0,5.0,1965,0.034331497,25,5487,3,0,4,0,1,0,1,0,1
236,1,1.0,47.07161748065335,1.0,7.0,7.0,2017,0.007122317,1,264,0,0,1,0,1,0,1,0,1
237,52,2.0,66.59181453309932,1.0,13.0,17.0,1977,0.371148999,34,7065,1,2,5,0,1,0,1,0,1
240,99,2.0,47.00961051697733,5.0,9.0,9.0,1971,0.012338886,35,5776,1,2,4,0,1,0,1,0,1
241,113,3.0,63.04444051929875,5.0,9.0,9.0,1966,0.050755569,24,5469,1,0,1,0,1,0,1,0,1
243,66,2.0,72.7363793274722,9.0,15.0,19.0,2002,0.111627393,50,12238,8,2,3,0,1,0,1,0,1
245,9,1.0,43.797870284335545,8.0,14.0,14.0,1995,0.161531741,25,5648,1,2,4,0,1,0,1,0,1
247,29,3.0,65.09845796799003,9.0,11.0,12.0,1968,0.086885265,10,2277,2,0,0,0,1,0,1,0,1
248,37,1.0,36.875910133784366,9.0,14.0,14.0,1972,0.122190486,25,4724,2,1,3,0,1,0,1,0,1
249,84,1.0,33.22250524274529,5.0,5.0,5.0,1961,0.14966637300000002,22,4789,2,4,1,0,1,0,1,0,1
250,74,2.0,80.82585267134866,1.0,1.0,1.0,2017,0.075778755,6,1437,3,0,2,0,1,0,1,0,1
251,20,2.0,41.20842185979395,6.0,12.0,12.0,1966,0.019508796,37,7687,11,5,5,0,1,0,1,0,1
253,8,1.0,43.88463985760105,8.0,5.0,14.0,1987,0.458174486,26,4439,1,1,5,0,1,1,0,0,1
254,109,2.0,53.07840402332315,9.0,3.0,17.0,2002,0.1363303,30,6141,10,3,6,0,1,0,1,0,1
255,27,1.0,43.32504270958004,1.0,1.0,1.0,2018,0.017647053,2,469,0,0,0,0,1,0,1,0,1
258,96,1.0,36.67340725700864,9.0,3.0,12.0,2003,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
259,88,3.0,60.38897244708644,5.0,9.0,9.0,1977,0.127375905,43,8429,3,3,9,0,1,0,1,0,1
260,170,3.0,77.26797275995854,10.0,17.0,17.0,1990,0.21843974,21,4472,6,4,7,0,1,0,1,1,0
261,7,2.0,43.94828799946549,4.0,5.0,5.0,1964,0.130617806,39,10418,9,1,9,0,1,0,1,0,1
262,181,2.0,62.19833539557827,5.0,7.0,9.0,1948,0.0,30,7538,87,5,5,0,1,0,1,0,1
263,40,3.0,80.93212416498206,9.0,8.0,8.0,1960,0.210473241,11,2398,2,3,0,0,1,0,1,0,1
264,54,3.0,58.703833742565905,5.0,3.0,5.0,1967,0.006076152,30,5285,0,6,6,0,1,0,1,0,1
265,83,2.0,53.14307185514218,8.0,3.0,12.0,1975,0.100455735,43,7227,0,1,6,0,1,0,1,1,0
266,93,1.0,41.515880999394895,8.0,4.0,14.0,1985,0.521867054,25,6149,0,0,0,0,1,0,1,0,1
267,34,1.0,44.217455611199064,9.0,16.0,24.0,2002,0.069753361,53,13670,4,1,11,0,1,0,1,0,1
268,27,2.0,60.72243610007683,12.0,1.0,1.0,1977,0.017647053,2,469,0,0,0,0,1,0,1,0,1
269,119,2.0,47.741510366148646,5.0,5.0,9.0,1970,0.000995363,42,7651,1,1,5,0,1,0,1,0,1
270,17,1.0,46.69297388488836,1.0,1.0,1.0,2015,0.0,18,3374,5,1,2,0,1,0,1,0,1
271,30,2.0,51.575294567580464,1.0,5.0,17.0,1977,7.81528e-05,22,6398,141,3,23,0,1,0,1,0,1
272,127,1.0,36.52800943176572,9.0,12.0,16.0,1983,0.486245621,13,2514,19,0,6,0,1,0,1,0,1
273,109,1.0,31.123566509037108,5.0,8.0,9.0,1965,0.1363303,30,6141,10,3,6,0,1,0,1,0,1
274,3,3.0,96.96659699367905,9.0,10.0,15.0,2015,0.050900058,43,10621,1,2,3,0,1,0,1,0,1
275,129,2.0,43.181956690056154,6.0,5.0,5.0,1962,0.020741326,24,5613,5,2,5,0,1,0,1,0,1
276,91,2.0,41.96202156738234,7.0,5.0,12.0,1969,0.333891544,30,6564,1,0,0,0,1,0,1,0,1
